@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric	
@attribute sstandard_deviation numeric
@attribute svariance numeric	
@attribute srange numeric
@attribute sCV numeric 
@attribute sskewness numeric	
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric	
@attribute sfrequency_ratio numeric
@attribute irrk numeric
@attribute irrj numeric 
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute zeroCrossingRate numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}


@data
-4.4325e-05,0.021478,-0.035667,0.0022162,4.9115e-06,0.057145,-4999.8919,-1.8285,44.4766,-0.00093296,-6.4744e-05,0.00088195,1,3.3275,54.3733,0.0014006,0.10413,57193017.1189,1.164346061779784e+184,240382.0943,57.508,66.3783,0.014228,12.7931,124.5918,125.2116,0.021478,746,1152,1491,1240,94,1,-0.065425,-0.0055678,0.13474,-0.023349,-0.018192,-0.0061477,-0.016141,-0.021721,-0.026739,-0.037582,human
-4.0876e-05,0.015133,-0.060849,0.0023059,5.3171e-06,0.075982,-5641.1017,-8.6224,215.4936,-0.00095567,1.0992e-06,0.0010134,1,4.1733,53.6792,0.0015604,0.03317,28824457.6271,1.279756778604252e+184,238488.7448,51.1509,61.7086,0.01885,27.4503,105.5049,125.2164,0.015133,718,1120,1435,1250,96,0.4,-0.048908,0.0038696,0.075266,-0.0090145,-0.011825,-0.0022569,-0.015065,-0.016691,-0.017093,-0.019416,human
-3.5279e-05,0.015542,-0.065104,0.0025015,6.2577e-06,0.080646,-7090.7749,-7.4728,196.7858,-0.0010293,-6.1559e-05,0.0010179,1,12.3787,54.0343,0.0013514,0.092309,10099741.1538,8.750468871294825e+183,236472.3387,58.397,67.1263,0.017595,12.4195,144.1913,125.2091,0.015542,724,1087,1447,1253,99,0.1,-0.071797,-0.14498,0.059664,-0.035609,-0.032983,-0.0091168,-0.023385,-0.034141,-0.044103,-0.064921,human
-5.442e-05,0.017228,-0.071542,0.0021869,4.7825e-06,0.08877,-4018.5302,-15.7093,494.9132,-0.00089745,-4.4732e-05,0.00083523,0.9996,1.6248,53.2777,0.001435,0.07484,658662.9262,1.282686265468623e+184,242081.9025,54.595,63.9006,0.015017,13.2032,120.9245,125.2111,0.017228,691,993,1382,1244,98,0.1,-0.0024119,0.016461,-0.0019317,0.0011671,0.0015608,-0.00071719,-0.0087733,-0.0059936,-0.0027993,0.0021701,human
-4.0297e-05,0.016371,-0.072778,0.0023862,5.6941e-06,0.08915,-5921.6301,-12.0421,359.8073,-0.0010044,-5.0586e-07,0.00097165,0.9996,11.1065,54.2779,0.0015924,0.095322,144907981.0818,6.998194222371621e+183,237830.5923,56.1917,66.1083,0.018805,14.0572,128.0085,125.2088,0.016371,738,1098,1475,1239,97,10,0.022038,-0.054433,0.12407,-0.036525,-0.036599,-0.011199,-0.028779,-0.041002,-0.052293,-0.076267,human
0.00012471,0.30419,-0.070834,0.0073696,5.4311e-05,0.37503,5909.4022,30.5676,1224.8505,-0.00078823,-3.9026e-05,0.00079939,0.00079872,136.5857,54.5638,0.00087997,-0.29108,2739456.5256,8.945309154466303e+183,243419.0284,52.7864,62.6162,0.036824,64.2642,399.0432,125.204,0.30419,757,1167,1514,1254,92,0.8,0.0084017,0.21937,-0.43357,0.16893,0.15561,0.046456,0.11466,0.16833,0.21552,0.31716,human
-4.152e-05,0.013945,-0.063057,0.0021588,4.6604e-06,0.077002,-5199.3652,-10.8987,307.2628,-0.00089356,2.6397e-06,0.00086285,0,2.5916,54.5675,0.0013323,0.038061,3042657.91,1.263457557748862e+184,241274.1578,54.0471,64.8462,0.015157,19.7227,106.0708,125.2107,0.013945,725,1168,1449,1249,96,0.1,-0.12993,0.011229,0.11198,-0.010082,-0.0086863,-0.0028734,-0.014825,-0.015758,-0.016124,-0.017983,human
-7.8381e-05,0.020744,-0.086815,0.0030584,9.3538e-06,0.10756,-3901.9738,-14.1822,366.601,-0.00091959,-2.8417e-05,0.00092551,0,8.8145,55.1577,0.0015532,0.10234,12040969.4904,1.358842603699366e+184,240037.5557,44.0147,54.681,0.031657,52.4747,120.9817,125.2075,0.020744,729,1112,1457,1239,95,0.2,0.06266,-0.032239,0.064433,-0.035262,-0.035531,-0.010139,-0.03745,-0.046097,-0.0533,-0.070384,human
-6.4065e-05,0.018832,-0.08949,0.0027009,7.295e-06,0.10832,-4215.9439,-16.231,510.6785,-0.00091325,-3.236e-05,0.00087308,0,14.2365,54.6712,0.0014765,0.13084,2380508.3374,1.225218191364063e+184,240545.5818,48.771,58.9465,0.021984,31.9921,126.339,125.2099,0.018832,712,1080,1423,1255,96,0.3,0.092422,-0.080617,0.094284,-0.042461,-0.044967,-0.014509,-0.037736,-0.052621,-0.065558,-0.093623,human
-7.2213e-05,0.023301,-0.10428,0.003015,9.0901e-06,0.12758,-4175.1427,-18.426,608.3824,-0.00092851,-4.1267e-06,0.00091232,0,3.0744,55.4238,0.0012872,0.072057,7161593.4746,1.39978152515738e+184,239624.8707,49.6744,60.311,0.023273,35.3606,139.7798,125.204,0.023301,761,1206,1521,1246,95,0.8,-0.039133,0.042427,0.051792,-0.014356,-0.016809,-0.0044163,-0.023945,-0.025438,-0.025735,-0.028299,human
-8.1992e-05,0.023325,-0.10361,0.0030587,9.3558e-06,0.12694,-3730.5269,-17.7489,566.0393,-0.00090743,-1.1851e-05,0.00082149,0,17.7295,54.9453,0.00137,0.16132,4669778.8414,1.155961352120854e+184,241525.0806,47.1454,58.2544,0.026303,47.9241,127.7425,125.2067,0.023325,756,1136,1511,1250,95,5.2,-0.14308,-0.087391,0.093059,-0.055221,-0.052212,-0.015955,-0.044996,-0.061577,-0.075951,-0.10759,human
-7.71e-05,0.020769,-0.091232,0.0027971,7.824e-06,0.112,-3627.9145,-16.5295,498.52,-0.00082116,-3.539e-05,0.00078792,0,6.6406,54.6388,0.0013441,0.10289,924578.8983,1.350345021830624e+184,243603.2422,46.5602,57.1054,0.02751,39.6427,120.2123,125.208,0.020769,734,1096,1467,1226,86,2.1,0.013187,0.0008894,-0.037034,-0.022178,-0.021695,-0.006626,-0.02718,-0.031558,-0.034463,-0.042349,human
-4.3579e-05,0.021927,-0.090678,0.0029665,8.8002e-06,0.11261,-6807.1794,-12.2103,373.8582,-0.00089793,1.4103e-05,0.00088786,0,13.2207,54.7795,0.0012943,0.13501,1512448.1145,1.080554766838573e+184,240352.2256,58.8489,67.3808,0.019426,13.2913,178.2565,125.2075,0.021927,761,1185,1522,1246,93,4.2,-0.070753,-0.11196,0.19424,-0.04955,-0.046061,-0.01474,-0.032151,-0.048497,-0.063863,-0.094971,human
-1.7334e-06,0.020094,-0.0088637,0.0016142,2.6056e-06,0.028958,-93124.2626,0.99133,16.6841,-0.0008381,-4.0873e-05,0.00080406,0,4.5061,54.4345,0.0018628,0.013061,19049528.8384,7.206897258429196e+183,243875.1277,62.3334,70.6877,0.012284,6.3263,92.1464,125.2149,0.020094,714,1085,1428,1253,94,2.1,0.0012078,0.014318,-0.087084,0.010961,0.010909,0.0040719,0.0090439,0.013359,0.017176,0.024915,human
-3.3926e-05,0.01609,-0.043988,0.0023018,5.2983e-06,0.060078,-6784.6864,-3.1433,64.4815,-0.0010122,9.5963e-06,0.0010162,0,7.3781,54.2386,0.0017718,0.046521,1359489.045,1.145911147085999e+184,236594.4534,59.1486,67.5719,0.017653,10.339,133.7553,125.2109,0.01609,714,1079,1428,1246,97,0.1,0.045586,-0.091316,-0.11369,0.0067823,-0.00083905,-0.0010381,-0.0060794,-0.004776,-0.0029357,-0.00045912,human
-2.7778e-05,0.01211,-0.04643,0.0018531,3.434e-06,0.05854,-6671.0417,-6.7543,171.982,-0.00086683,-1.3474e-05,0.00083576,0,5.004,53.9146,0.0016274,0.059815,19114451.4867,1.126930311061935e+184,243632.2686,57.6601,66.94,0.014542,7.4833,103.411,125.2114,0.01211,715,1068,1430,1242,94,0.5,0.0035756,0.044182,0.055261,-0.024229,-0.023059,-0.0065294,-0.018007,-0.025852,-0.032541,-0.047244,human
1.8798e-05,0.060591,-0.014073,0.002253,5.076e-06,0.074665,11985.5008,8.5409,224.7323,-0.00099203,3.2883e-06,0.00097615,0,2.8169,53.5034,0.0027206,0.02576,7113604.296,1.388535670095802e+184,238082.6824,57.6153,67.4174,0.030458,13.7425,118.8176,125.2078,0.060591,709,1089,1419,1249,96,0.3,0.095233,0.012682,-0.017276,2.0476e-05,-0.0019774,-1.8007e-05,0.0071479,0.004686,0.0021324,-0.0023819,human
0.00010999,0.19866,-0.22379,0.0086375,7.4606e-05,0.42245,7852.618,-0.056741,321.0179,-0.00092361,1.2642e-05,0.00087393,0.9988,187.4884,54.3399,0.0015702,-0.23055,11030305.4024,1.048547451055729e+184,237549.3639,52.6888,60.693,0.07316,53.6174,468.0807,125.2061,0.19866,748,1134,1497,1254,95,0.2,0.0058459,-0.038605,-0.69683,0.10024,0.10333,0.029563,0.082331,0.11627,0.1462,0.21227,human
