@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric
@attribute sstandard_deviation numeric
@attribute svariance numeric
@attribute srange numeric
@attribute sskewness numeric
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric
@attribute irrk numeric
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}

@data
0.000023,0.018041,-0.006157,0.001415,0.000002,0.024198,1.5875,21.8575,-0.00088,0.000009,0.000889,0,2.0437,56.8776,-0.037826,31300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204102.6531,54.4494,61.1234,0.008198,0.51958,71.0685,105.3246,0.018041,673,1347,1040,84,6.8,0.074648,-0.028821,0.007212,0.009094,0.001938,0.004624,0.007266,0.009114,0.013423,robo
0.000044,0.047248,-0.012969,0.002183,0.000005,0.060217,5.1382,111.6818,-0.000949,-0.000016,0.000971,0,1.7854,55.5415,-0.050458,28400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,199483.645,47.6447,55.2618,0.02065,9.0515,90.3927,105.2746,0.047248,636,1273,1057,87,3.1,0.080298,-0.02555,0.004363,0.009928,0.003312,0.003742,0.005869,0.007541,0.011189,robo
0.000058,0.049388,-0.012747,0.002499,0.000006,0.062135,7.5099,147.9299,-0.001003,0.000033,0.001005,0,5.6307,55.3704,-0.073706,34500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,199388.7396,43.2037,51.5601,0.023521,18.4194,92.3959,105.2846,0.049388,634,1269,1038,88,2.9,0.000445,-0.080291,0.023137,0.025899,0.006374,0.013992,0.021618,0.027405,0.040298,robo
0.000083,0.070231,-0.027084,0.003031,0.000009,0.097315,8.0627,182.7962,-0.001024,0.000015,0.001058,0,11.0646,55.8201,-0.11615,37400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,197536.2643,42.5215,50.391,0.027894,21.7502,115.0062,105.279,0.070231,638,1277,1048,91,0.8,0.11884,-0.084695,0.022111,0.024616,0.007458,0.014002,0.021464,0.027344,0.040208,robo
0.000093,0.079303,-0.018491,0.002962,0.000009,0.097793,15.5997,396.0082,-0.000856,0.000022,0.000971,0,8.4885,56.5506,-0.12212,32400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202074.8891,39.1229,48.0086,0.025338,35.588,97.1754,105.2541,0.079303,670,1341,1044,86,3.7,0.086229,-0.12881,0.029564,0.035833,0.009497,0.018945,0.029501,0.037409,0.055022,robo
0.000175,0.19289,-0.048158,0.005566,0.000031,0.24105,22.4509,736.3981,-0.000857,0.000038,0.000941,0,54.2482,56.95,-0.2794,47300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,203323.0651,36.7165,45.0826,0.044175,76.3971,175.1772,105.344,0.19289,680,1361,1052,79,5.7,0.10431,-0.38378,0.082492,0.094937,0.020686,0.055137,0.084494,0.10671,0.15694,robo
0.000114,0.088478,-0.021001,0.003213,0.00001,0.10948,17.2966,451.4836,-0.000855,0.000082,0.00089,0,12.3002,56.6793,-0.17138,38400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204025.5934,37.3845,46.1595,0.025514,43.526,100.9764,105.2843,0.088478,682,1365,1038,80,5,0.084479,-0.1663,0.036747,0.04504,0.011506,0.025643,0.039295,0.049879,0.073246,robo
0.000102,0.079141,-0.018944,0.002959,0.000009,0.098085,17.235,448.1263,-0.000772,0.000027,0.000819,0,9.6596,56.9516,-0.14825,31900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,206110.2293,37.7154,46.5514,0.022416,39.5297,93.3798,105.2918,0.079141,698,1397,1060,62,9,0.081447,-0.1397,0.033254,0.039969,0.010912,0.022465,0.034569,0.043967,0.064545,robo
0.000096,0.073837,-0.01885,0.00284,0.000008,0.092687,15.9126,403.9266,-0.000866,-0.000009,0.000877,0,8.9725,56.8121,-0.13947,37300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,203979.7448,39.0454,47.9846,0.019762,34.7719,93.2196,105.2742,0.073837,694,1389,1071,77,5.9,0.044012,-0.13656,0.033933,0.037959,0.009549,0.02112,0.032418,0.041083,0.060379,robo
0.000088,0.068801,-0.017856,0.002585,0.000007,0.086657,15.2279,384.1215,-0.000781,-0,0.000868,0,8.0022,57.0035,-0.13214,35400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,205457.825,40.0283,49.0708,0.017675,28.5355,86.6271,105.2924,0.068801,685,1371,1069,69,7.8,0.021491,-0.1273,0.030038,0.035508,0.008456,0.019725,0.030214,0.038282,0.056265,robo
0.000078,0.060757,-0.014802,0.002345,0.000005,0.075559,14.5784,362.1362,-0.00081,0.000055,0.000859,0,6.291,56.8041,-0.1166,29400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,205438.3454,40.688,49.7116,0.016893,24.5067,80.189,105.2773,0.060757,696,1393,1052,65,7.8,0.062449,-0.10829,0.025401,0.031939,0.007917,0.017311,0.02658,0.033721,0.049559,robo
